inscricao;nome;rg;cpf;sexo;nascimento;responsavel;parentesco;celular;telefone;email;endereco;bairro;cep;cidade;especiais;nec_especial;tipo_escola;escolaridade;nome_escola;trabalha;profissao;transporte;internet;ex_aluno;como_conheceu;data_inscricao;facebook
1009666;João 12;1234456677;12345679010;Feminino;21/05/1999;Ana 12;Mãe;(12)3344-1245;(12)3344-1245;casdcadvcasvas@rwerw.com;Rua Jussara, 19;Jardim Topázio;12216-470;São José dos Campos;Não;;Particular;Cursando o 3º ano do ensino médio;;Sim;Estagiária Administrativa;Transporte coletivo;Sim;Não;Indicação de conhecidos;03/08/2016 19:45;nao_tem
1010357;João 13;1234456678;12345679020;Feminino;05/10/1999;Carlos 1;Mãe;(12)3344-1246;(12)3344-1246;vav@dbtb.com;rua cidade bento gonçalves n°114;palmeiras sao jose;12237-865;São José dos Campos;Não;;Pública;Cursando o 2º ano do ensino médio;EE Dep. Benedito Matarazzo;Sim;atendente;Transporte coletivo;Sim;Não;Indicação de voluntários do CASD Vestibulares;14/08/2016 13:22;nao_tem
1010852;João 14;1234456679;12345679030;Feminino;16/08/2000;Carlos 2;;(12)3344-1247;(12)3344-1247;bsrbse@casda.co;Rua:jose cobra, 301 bloco 1-106;conjunto 31 de março;12237-000;São José dos Campos;Não;;Pública;Cursando o 2º ano do ensino médio;EE Dep. Benedito Matarazzo;Não;;Transporte coletivo;Sim;Não;Indicação de conhecidos;19/08/2016 14:19;nao_tem
1008584;João 15;1234456680;12345679040;Feminino;07/10/1994;Carlos 3;;(12)3344-1248;(12)3344-1248;cadcadadscasca@vvf.com;Rua José Pedro Baracho;Monte Castelo;12215-180;São José dos Campos;Não;;Pública;Outro;EE Maj. Av. Jose Mariotto Ferreira;Não;;Transporte coletivo;Sim;Não;Indicação de conhecidos;13/07/2016 15:48;nao_tem
1007142;João 16;1234456681;12345679050;Feminino;16/01/1999;Carlos 4;Mãe;(12)3344-1249;(12)3344-1249;plo@ds.com;Rua Monte das Oliveiras 742;Jardim Altos de Santana;12214-100;São José dos Campos;Não;;Pública;Cursando o 2º ano do ensino médio;EE Prof. João Cursino;Não;;Transporte coletivo;Sim;Não;Indicação de alunos/ex-alunos do CASD Vestibulares;06/07/2016 00:40;nao_tem
1010771;Ana 1;1234456682;12345679060;Feminino;26/07/1998;Carlos 5;;(12)3344-1250;(12)3344-1250;ploood@vs.com;rua um n°51;coqueiro ;12248-687;São José dos Campos;Não;;Pública;Cursando o 3º ano do ensino médio;EE Prof. João Cursino;Não;;Transporte coletivo;Sim;Não;Indicação de alunos/ex-alunos do CASD Vestibulares;18/08/2016 22:20;nao_tem
1010547;Ana 2;1234456683;12345679070;Masculino;14/07/1999;Carlos 6;;(12)3344-1251;(12)3344-1251;cqdkmo@cd.com;Rua Turiaçu 511;Parque Industrial ;12235-650;São José dos Campos;Não;;Pública;Cursando o 3º ano do ensino médio;EE Prof. Nelson do Nascimento Monteiro;Não;;Transporte coletivo;Sim;Não;Indicação de conhecidos;17/08/2016 18:20;nao_tem
1007465;Ana 3;1234456684;12345679080;Masculino;15/12/1981;Carlos 7;;(12)3344-1252;(12)3344-1252;cdacdc@dded.co;gomide santos , 403;monte castelo;12215-120;São José dos Campos;Não;;Pública;Ensino médio completo;Outra;Sim;vendedor;Transporte coletivo;Sim;Não;Indicação de conhecidos;07/07/2016 11:17;nao_tem
1011225;Ana 4;1234456685;12345679090;Masculino;29/04/1995;Carlos 8;;(12)3344-1253;(12)3344-1253;cverve@dd.com;Rua Sena Madureira, 337;Parque Industrial;12237-020;São José dos Campos;Não;;Pública;Ensino médio completo;EE Prof. Nelson do Nascimento Monteiro;Sim;Balconista;Transporte coletivo;Sim;Não;Indicação de conhecidos;21/08/2016 22:50;nao_tem
1008210;Ana 5;1234456686;12345679100;Masculino;01/01/1994;Carlos 9;;(12)3344-1254;(12)3344-1254;okmonok@veve.com;Santa Clara;Villa Ad'yanna;12243-630;São José dos Campos;Não;;Pública;Ensino médio completo;EE Maj. Av. Jose Mariotto Ferreira;Não;;Transporte escolar;Sim;Sim, por 3 anos;Indicação de alunos/ex-alunos do CASD Vestibulares;11/07/2016 00:05;nao_tem
1008410;Ana 6;1234456687;12345679110;Feminino;05/05/1998;Carlos 10;;(12)3344-1255;(12)3344-1255;okmono@ddddc.com;rua jose wagner de carvalho 56;residencial jatoba;12228-179;São José dos Campos;Não;;Pública;Ensino médio completo;EE Maj. Av. Jose Mariotto Ferreira;Não;;Transporte coletivo;Sim;Sim, por 2 anos;Indicação de alunos/ex-alunos do CASD Vestibulares;12/07/2016 10:25;nao_tem
1009303;Ana 7;1234456688;12345679120;Feminino;25/11/1998;João 1;Mãe;(12)3344-1256;(12)3344-1256;vertvpo@cf.com;Rua CaparaÃ³ ;Jardim Ismenia ;12220-750;São José dos Campos;Não;;Pública;Cursando o 3º ano do ensino médio;EE Prof. Juvenal Machado de Araujo;Não;;Transporte coletivo;Sim;Sim, por 1 ano;Indicação de alunos/ex-alunos do CASD Vestibulares;26/07/2016 07:17;nao_tem
1008165;Ana 8;1234456689;12345679130;Feminino;16/05/2000;João 2;Mãe;(12)3344-1257;(12)3344-1257;ppkpok@dokpok.com;Rua Maria Alves Bonfim;Campos de São José;12226-560;São José dos Campos;Não;;Pública;Cursando o 2º ano do ensino médio;EE Prof. Valmar Lourenco Santiago;Não;;Transporte coletivo;Sim;Não;Indicação de conhecidos;10/07/2016 17:52;nao_tem
1010185;Ana 9;1234456690;12345679140;Feminino;25/12/1998;João 3;Lourdes CustÃ³dio de Paula;(12)3344-1258;(12)3344-1258;omkmev@cff.com;Av Napoleão Bonaparte ;Jardim Colonial;12234-270;São José dos Campos;Não;;Pública;Ensino médio completo;EE Profa. Marcia Helena Barbosa Lino;Não;;A pé, carona ou bicicleta;Sim;Não;Facebook ou outras redes sociais;11/08/2016 11:42;nao_tem
1007964;Ana 10;1234456691;12345679150;Feminino;08/04/1997;João 4;;(12)3344-1259;(12)3344-1259;omkm@ss.com;Rua AdÃ´nis ;Monte Castelo ;12215-480;São José dos Campos;Não;;Pública;Ensino médio completo;;Não;;Transporte coletivo;Sim;Não;Facebook ou outras redes sociais;08/07/2016 22:18;nao_tem
1007789;Ana 11;1234456692;12345679160;Feminino;27/02/2000;João 5;Mãe;(12)3344-1260;(12)3344-1260;mkprlvfd@lvttv.com;Rua Scorpius;Jardim Satélite;12230-570;São José dos Campos;Não;;Pública;Cursando o 2º ano do ensino médio;ETEC Extensão EE Prof Jose Vieira Macedo;Não;;A pé, carona ou bicicleta;Sim;Não;Indicação de conhecidos;08/07/2016 11:19;nao_tem
1008434;Ana 12;1234456693;12345679170;Feminino;03/02/1999;João 6;Mãe;(12)3344-1261;(12)3344-1261;kmpm@pl.com;Rua dos Girassois;parque santo antonio;12309-640;Jacareí;Não;;Pública;Cursando o 3º ano do ensino médio;Outra;Não;;Transporte coletivo;Sim;Sim, por 1 ano;Indicação de alunos/ex-alunos do CASD Vestibulares;12/07/2016 13:25;nao_tem
1010470;Carlos 1;1234456694;12345679180;Feminino;20/10/1996;João 7;;(12)3344-1262;(12)3344-1262;plpopo@llll.com;Rua Hilário Rosa, 66;Jardim das Oliveiras;12318-449;Jacareí;Não;;Pública;Ensino médio completo;Outra;Não;;Transporte coletivo;Sim;Sim, por 2 anos;Indicação de conhecidos;16/08/2016 21:07;nao_tem
1008774;Carlos 2;1234456695;12345679190;Feminino;15/03/2000;João 8;Mãe;(12)3344-1263;(12)3344-1263;veve@lok.com;Rua CÃ³rrego do Sabão, 55;Altos da Vila Paiva;12213-070;São José dos Campos;Não;;Pública;Cursando o 2º ano do ensino médio;Outra;Não;;Transporte coletivo;Sim;Não;Indicação de alunos/ex-alunos do CASD Vestibulares;15/07/2016 16:43;nao_tem
1007428;Carlos 3;1234456696;12345679200;Feminino;06/02/1994;João 9;;(12)3344-1264;(12)3344-1264;a@lok.aa;Rua canta galo n°215;Colonial;12234-320;São José dos Campos;Não;;Pública;Cursando o 3º ano do ensino médio;EE Prof. Joaquim Andrade Meirelles;Não;;Transporte coletivo;Sim;Não;Indicação de conhecidos;06/07/2016 23:00;nao_tem
1008411;Carlos 4;1234456697;12345679210;Feminino;14/06/1999;João 10;Mãe;(12)3344-1265;(12)3344-1265;movrtvrv@lo.com;Rua Tobago, 113;Cidade Vista Verde;12223-790;São José dos Campos;Não;;Pública;Cursando o 3º ano do ensino médio;Outra;Não;;Transporte coletivo;Sim;Não;Indicação de conhecidos;12/07/2016 10:26;nao_tem
1010331;Carlos 5;1234456698;12345679220;Feminino;26/06/1999;João 11;;(12)3344-1266;(12)3344-1266;martelo@crc.com;II Travessa Pernambucana n547;Putim;1228-250;São José dos Campos;Não;;Pública;Cursando o 3º ano do ensino médio;EE Profa. Dinora Pereira Ramos Brito;Não;;Transporte coletivo;Sim;Não;Indicação de alunos/ex-alunos do CASD Vestibulares;13/08/2016 11:50;nao_tem
1009501;Carlos 6;1234456699;12345679230;Feminino;27/07/1999;João 12;pai;(12)3344-1267;(12)3344-1267;opomp@plookv.com;pça assis chateubriand 172;Vila Tesouro;12220-450;São José dos Campos;Não;;Pública;Cursando o 3º ano do ensino médio;EE Prof. Juvenal Machado de Araujo;Sim;auxiliar administrativo ;A pé, carona ou bicicleta;Não;Não;Indicação de conhecidos;01/08/2016 13:10;nao_tem
1011258;Carlos 7;1234456700;12345679240;Feminino;25/06/1999;João 13;Mãe;(12)3344-1268;(12)3344-1268;cawww@vfv.com;Rua Engels , 191;Dom Pedro 1;12232-531;São José dos Campos;Não;;Pública;Cursando o 3º ano do ensino médio;EE Moabe Cury;Não;;Transporte coletivo;Não;Não;Indicação de conhecidos;21/08/2016 23:21;nao_tem
1007908;Carlos 8;1234456701;12345679250;Feminino;13/12/1998;João 14;Mãe;(12)3344-1269;(12)3344-1269;adsfa@vcerv.com;Rua Olavo Antonio Ribeiro;Conjunto Papa João Paulo II;12232-413;São José dos Campos;Não;;Pública;Cursando o 3º ano do ensino médio;EE Prof. Nelson do Nascimento Monteiro;Não;;Transporte coletivo;Sim;Sim, por 1 ano;Indicação de alunos/ex-alunos do CASD Vestibulares;08/07/2016 17:55;nao_tem
1008016;Carlos 9;1234456702;12345679260;Feminino;29/04/1999;João 15;Mãe;(12)3344-1270;(12)3344-1270;lplpo@scdsc.com;Praça Berlim, 20;Jardim Augusta;12216-631;São José dos Campos;Não;;Particular;Cursando o 3º ano do ensino médio;;Não;;Transporte escolar;Sim;Não;Indicação de alunos/ex-alunos do CASD Vestibulares;09/07/2016 12:09;nao_tem
1009759;Carlos 10;1234456703;12345679270;Masculino;07/01/1996;João 15;Mãe;(12)3344-1271;(12)3344-1271;adaccccp@lplp.com;Rua Pedro Pomar ;Dom Pedro l;12232-471;São José dos Campos;Não;;Pública;Ensino médio completo;EE Prof. Jose Vieira Macedo;Sim;Auxiliar de produção;Transporte coletivo;Sim;Não;Indicação de conhecidos;04/08/2016 18:35;nao_tem
